stop_id,stop_name,stop_lat,stop_lon
10127,Miramar Avenue at Tauhinu Road,-41.314750,174.812818
10130,Miramar Avenue - Miramar Shops,-41.315864,174.815321
10135,Park Road at Byron Street (near 45),-41.314123,174.817793
10136,Park Road at Brussels Street (near 63),-41.313110,174.818602
10179,Park Road at Rotherham Terrace (near 91),-41.311797,174.819652
10187,Darlington Road at Camperdown Rd (near 104),-41.307404,174.825778
10185,Darlington Road at Totara Terrace (near 64),-41.309327,174.824924
10183,Darlington Road at Puriri Street (near 26),-41.311812,174.823822
10141,Para Street at Awa Road (near 82),-41.313229,174.822487
10140,Miramar Central School - Para Street (opposite),-41.315350,174.820491
10139,Marist Holy Cross School - Para Street,-41.317258,174.819421
10095,Hobart Street at Chelsea Street (near 104),-41.319553,174.814419
11822,Hobart Street at Kedah Street (near 32),-41.323617,174.812560
11824,Broadway at Hobart Street (near 383),-41.325286,174.812343
11825,Broadway at Crawford Green (near 411),-41.325214,174.814647
10063,Scots College - Monorgan Road,-41.327977,174.818236
10034,Raukawa Street at Nuku Street (near 37),-41.330749,174.817201
10033,Taiaroa Street at Raukawa Street (near 1),-41.331698,174.817012
10037,Taiaroa Street at Tukanae Street (near 27),-41.334167,174.817462
10038,Tukanae Street (near 12),-41.332815,174.819253
10041,Tukanae Street at Ahuriri Street (near 2),-41.334036,174.819526
10018,Ahuriri Street (near 41),-41.336239,174.817460
10016,Ahuriri Street at Kekerenga Street (near 55),-41.336499,174.816356
10015,Ahuriri Street at Kekerenga Street (near 71),-41.337390,174.814098
10014,Strathmore Park Terminus,-41.336159,174.813921
10017,Kekerenga Street at Ahuriri Street (near 2),-41.336050,174.816319
22443,Ahuriri Street (near 30),-41.336065,174.817658
10040,Ahuriri Street at Tukanae Street (near 4),-41.334244,174.819496
10039,Tukanae Street (near 11),-41.333140,174.819250
10036,Taiaroa Street at Tukanae Street (near 24),-41.334036,174.817244
10032,Raukawa Street (near 40),-41.331200,174.816580
10062,Scots College - Monorgan Road (near 44),-41.328034,174.818034
10065,Broadway at The Quadrant (near 451),-41.325046,174.818453
11828,Strathmore Park Shops - Broadway (opposite),-41.324408,174.820694
11883,Broadway at Tio Tio Road (near 535),-41.323894,174.823559
11884,Broadway at Cavendish Square (near 569),-41.324299,174.825852
11885,Ferry Street at Dundas Street (near 48),-41.322578,174.828779
11886,Seatoun Village - Dundas Street (near 23),-41.322575,174.830679
11887,Dundas Street at Monro Street (near 55),-41.323168,174.833622
11888,Seatoun Park - Monro Street,-41.325462,174.833244
11832,Seatoun Park - Hector Street,-41.325458,174.834630
10308,Courtenay Place - Paramount,-41.293858,174.782460
10306,Courtenay Place - St James Theatre,-41.293113,174.779932
23337,Manners Street at Cuba Street (Body Shop),-41.291515,174.777238
10330,Manners Street at Willis Street,-41.289578,174.774917
22215,Willis Street - Grand Arcade,-41.286934,174.775861
10332,Lambton Quay - Cable Car,-41.283808,174.775335
10347,Lambton Quay - Farmers,-41.282814,174.775559
10355,"Lambton Quay - North End, Stop F",-41.279571,174.776761
11657,The Terrace at Bolton Street (near 25),-41.279807,174.775454
11658,The Terrace at Aurora Terrace (near 85),-41.281433,174.775128
11659,The Terrace at Dalmuir Lane (near 135),-41.283476,174.774657
11660,Salamanca Road at The Terrace,-41.288838,174.771494
11661,Victoria University - Kelburn Parade,-41.289001,174.767892
11662,Upland Road at Glasgow Street (near 39),-41.287827,174.765735
11663,Kelburn Village - Upland Road (St Michael's),-41.289353,174.762540
11664,Kelburn Normal School - Upland Road (opposite),-41.287183,174.760727
11599,Glenmore Street at Karori Tunnel,-41.287582,174.756391
11600,Karori Sanctuary - Chaytor Street (Appleton Park,-41.286217,174.754373
11601,Chaytor Street at Curtis Street (opposite),-41.284581,174.752932
11602,Chaytor Street at Joll Street,-41.283010,174.751995
11603,Karori Road at Standen Street (near 93),-41.281468,174.750330
11604,Marsden Village - Karori Road (near 141),-41.282380,174.746009
11605,Karori Normal School - Karori Road,-41.283761,174.741078
11606,Karori Road at Campbell Street (near 223),-41.284226,174.739467
11607,Karori Mall - Karori Road (opposite),-41.284881,174.737251
11609,St Teresa's - Karori Road (near 291),-41.285593,174.734786
11610,Karori Road at Burrows Avenue (near 333),-41.286564,174.731301
11611,Karori Road at Tringham Street (near 357),-41.286890,174.728791
11613,Karori Park Pavilion - Karori Road (opposite),-41.287178,174.725180
11614,Karori Road at St Philips Church (near 415),-41.288460,174.723769
11943,Hazelwood Avenue (near 33),-41.292917,174.722643
11945,Hazelwood Avenue (near 23),-41.294229,174.724051
11947,Hazelwood Avenue (near 67),-41.297108,174.724222
11949,South Karori - Hazelwood Avenue (near 89),-41.298724,174.722150
11616,Karori Park,-41.288962,174.723316
11951,Woodhouse Avenue at South Karori Rd (near 1),-41.288889,174.723995
11953,Woodhouse Avenue (opposite 24),-41.289839,174.725477
11955,Woodhouse Avenue at Parklands Dr,-41.291884,174.724838
11957,Parklands Drive at Landsdowne Terrace (near 18),-41.290915,174.725803
11959,Parklands Drive at Collier Avenue,-41.289423,174.726839
11961,Collier Avenue (near 20),-41.287894,174.727862
11919,Marshall Street at Tringham Street (near 1),-41.285998,174.727621
11920,Marshall Street at Hildreth Street,-41.284541,174.726866
11922,Sunshine Avenue at Percy Dyett Drive,-41.283637,174.725875
11923,Sunshine Avenue at Victory Avenue,-41.282468,174.727552
11924,Victory Avenue at Tobruk Street,-41.281370,174.728682
11925,Victory Avenue at Montgomery Ave,-41.283062,174.730027
11938,Montgomery Avenue (near 13),-41.282352,174.730474
11928,Montgomery Avenue (near 35),-41.280694,174.730574
11930,Montgomery Ave at Alanbrooke Place (near 51),-41.279532,174.730591
11932,Montgomery Ave at Caldwell St,-41.279540,174.728216
11934,Montgomery Ave at Skyline Reserve,-41.278533,174.726900
11936,Karori West - Montgomery Avenue,-41.277984,174.728068
11933,Montgomery Ave at Caldwell St (opposite 75),-41.279377,174.728259
11931,Montgomery Ave at Alanbrooke Place,-41.279430,174.730732
11929,Montgomery Avenue (near 50),-41.280610,174.730763
11937,Montgomery Avenue (near 24),-41.282259,174.730711
11926,Victory Avenue at Montgomery Ave (near 38),-41.283333,174.729975
11939,Victory Avenue at Tobruk Street (near 14),-41.281495,174.728768
11940,Sunshine Avenue at Victory Avenue (near 46),-41.282592,174.727687
11941,Sunshine Avenue at Percy Dyett Drive (near 18),-41.283762,174.725915
11921,Marshall Street at Hildreth Street (near 26),-41.284403,174.727030
11942,Marshall Street at Tringham Street (near 4),-41.285878,174.727785
11618,Karori Road at Tringham Street,-41.286776,174.728549
11619,Karori Road at Richmond Avenue (near 340),-41.286589,174.730251
11620,St Teresa's - Karori Road (near 294),-41.285365,174.735019
21869,Beauchamp Street at Dasent Street (near 39),-41.287708,174.738508
21870,Beauchamp Street at Henderson St (near 63),-41.289040,174.739164
21871,Beauchamp Street at Verviers St (near 79),-41.290211,174.739768
21872,Verviers Street at Kano Street (near 37),-41.290012,174.741016
21873,Campbell Street (near 133),-41.290724,174.742205
21874,Campbell Street (near 171),-41.292946,174.744127
21875,Croydon Street (near 64),-41.293918,174.745980
21876,Croydon Street at Versailles Street,-41.291843,174.746809
21877,Croydon Street (near 2),-41.290519,174.746821
21878,Duthie Street at Hurman Street,-41.289511,174.747356
21879,Duthie Street at Gipps Street,-41.287689,174.747546
11631,Plymouth Street at Messines Road,-41.286728,174.749730
