stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_short_name
102411,westbound Otter Point NS Ramsden (Stop ID: 102411),48.394025,-123.777961,0,,Otter Point at Ramsden
102412,northbound West Saanich FS Tatlow (Stop ID: 102412),48.68724,-123.457729,0,,West Saanich at Tatlow
102413,southbound Lands End NS Hedgerow (Stop ID: 102413),48.691748,-123.427837,0,,Lands End at Hedgerow
102415,eastbound Lands End FS Junco (Stop ID: 102415),48.694477,-123.429964,0,,Lands End at Junco
102416,Bay 2 at UVIC Exchange (Stop ID: 102416),48.466106,-123.309344,0,800001,Bay 2
102417,Bay 3 at UVIC Exchange (Stop ID: 102417),48.466267,-123.309166,0,800001,Bay 3
102419,northbound West Saanich NS Brickley (Stop ID: 102419),48.692177,-123.457767,0,,West Saanich at Brickley
102420,Bay 5 at UVIC Exchange (Stop ID: 102420),48.466382,-123.308632,0,800001,Bay 5
102421,Bay 6 at UVIC Exchange (Stop ID: 102421),48.466209,-123.308833,0,800001,Bay 6
102422,northbound 7750 block West Coast (Stop ID: 102422),48.367119,-123.783944,0,,7750 West Coast
102423,eastbound Lands End FS Howcrest (Stop ID: 102423),48.697479,-123.439173,0,,Lands End at Howcrest
102424,eastbound Lands End FS Cloake Hill (Stop ID: 102424),48.695951,-123.451861,0,,Lands End at Cloake Hill
102425,northbound West Saanich FS Readings (Stop ID: 102425),48.6945,-123.457738,0,,West Saanich at Readings
102426,Bay 7 at UVIC Exchange (Stop ID: 102426),48.466079,-123.309002,0,800001,Bay 7
102427,Bay 8 at UVIC Exchange (Stop ID: 102427),48.465949,-123.309213,0,800001,Bay 8
102428,eastbound Lands End FS West Saanich (Stop ID: 102428),48.695706,-123.457375,0,,Lands End at West Saanich
102429,eastbound Lands End NS Seabreeze (Stop ID: 102429),48.697322,-123.447106,0,,Lands End at Seabreeze
102431,eastbound 1350 block Lands End (Stop ID: 102431),48.697783,-123.443521,0,,1350 Lands End
102435,southbound Kemp Lake FS Milligan (Stop ID: 102435),48.381758,-123.790639,0,,Kemp Lake at Milligan
102438,southbound 2450 block Kemp Lake (Stop ID: 102438),48.376232,-123.791859,0,,2450 Kemp Lake
102439,southbound 2320 block Kemp Lake (Stop ID: 102439),48.371468,-123.794622,0,,2320 Kemp Lake
102440,eastbound West Coast FS Kemp Lake (Stop ID: 102440),48.36607,-123.793188,0,,West Coast at Kemp Lake
102441,southbound 2230 block Kemp Lake (Stop ID: 102441),48.36773,-123.795379,0,,2230 Kemp Lake
102442,northbound Phipps FS Langford (Stop ID: 102442),48.442818,-123.504307,0,,Phipps at Langford
102443,eastbound Langford NS Attree (Stop ID: 102443),48.44278,-123.509612,0,,Langford at Attree
102445,eastbound Langford FS Phipps (Stop ID: 102445),48.442028,-123.503932,0,,Langford at Phipps
102447,William Head (Stop ID: 102447),48.339522,-123.541914,0,,William Head
102448,Bay at Gondola Transit Exchange (Stop ID: 102448),50.11355,-122.952341,0,800002,Bay
102449,westbound Glacier NS Blackcomb (Stop ID: 102449),50.114349,-122.949165,0,,Glacier at Blackcomb
102450,eastbound Glacier FS Blackcomb (Stop ID: 102450),50.11429,-122.948716,0,,Glacier at Blackcomb
102451,northbound 4690 block Glacier (Stop ID: 102451),50.11244,-122.947705,0,,4690 Glacier
102452,southbound 4710 block Glacier (Stop ID: 102452),50.111846,-122.948147,0,,4710 Glacier
102453,southbound 4540 block Blackcomb (Stop ID: 102453),50.116247,-122.948977,0,,4540 Blackcomb
102454,northbound 4540 block Blackcomb (Stop ID: 102454),50.116118,-122.948708,0,,4540 Blackcomb
102455,eastbound Village Gate NS Gate Way at Whistler Village (Stop ID: 102455),50.116111,-122.95649,0,,Village Gate at Gate Way
102456,westbound Village Gate FS Gate Way at Whistler Village (Stop ID: 102456),50.116407,-122.956514,0,,Village Gate at Gate Way
102457,southbound Glacier FS Summit (Stop ID: 102457),50.110984,-122.947399,0,,Glacier at Summit
102458,northbound Glacier NS Summit (Stop ID: 102458),50.111083,-122.947158,0,,Glacier at Summit
102460,northbound Blackcomb NS Chateau (Stop ID: 102460),50.117348,-122.948026,0,,Blackcomb at Chateau
102461,southbound 4340 block Blackcomb at Whistler Village (Stop ID: 102461),50.118059,-122.953923,0,,4340 Blackcomb
102462,northbound Northlands NS Main at Whistler Village (Stop ID: 102462),50.117677,-122.957944,0,,Northlands at Main
102463,westbound Blackcomb NS Chateau (Stop ID: 102463),50.117949,-122.947338,0,,Blackcomb at Chateau
102464,westbound 0 block Glacier (Stop ID: 102464),50.109133,-122.947977,0,,0 Glacier
102465,eastbound Blackcomb NS Lorimer (Stop ID: 102465),50.118459,-122.946215,0,,Blackcomb at Lorimer
102466,northbound Northlands FS Main at Whistler Village (Stop ID: 102466),50.119059,-122.958246,0,,Northlands at Main
102468,westbound Blackcomb NS Lorimer (Stop ID: 102468),50.118863,-122.945814,0,,Blackcomb at Lorimer
102470,eastbound Lorimer FS Marketplace at Whistler Village (Stop ID: 102470),50.12028,-122.956224,0,,Lorimer at Marketplace
102471,westbound Spearhead FS Painted Cliff at Upper Village (Stop ID: 102471),50.116781,-122.942326,0,,Spearhead at Painted Cliff
102472,northbound Blackcomb FS Lorimer at Whistler Village (Stop ID: 102472),50.12091,-122.954194,0,,Blackcomb at Lorimer
102473,northbound 4750 block Spearhead at Upper Village (Stop ID: 102473),50.118004,-122.942751,0,,4750 Spearhead
102475,southbound Blackcomb NS Lorimer at Whistler Village (Stop ID: 102475),50.121054,-122.954392,0,,Blackcomb at Lorimer
102476,northbound 4890 block Painted Cliff at Upper Village (Stop ID: 102476),50.114226,-122.940547,0,,4890 Painted Cliff
102478,southbound Painted Cliff NS Spearhead at Upper Village (Stop ID: 102478),50.117079,-122.940839,0,,Painted Cliff at Spearhead
102479,westbound Lorimer FS Northlands at Whistler Village (Stop ID: 102479),50.121012,-122.958546,0,,Lorimer at Northlands
102480,eastbound Blackcomb NS Spearhead at Upper Village (Stop ID: 102480),50.119913,-122.941823,0,,Blackcomb at Spearhead
102481,westbound 4610 block Blackcomb at Upper Village (Stop ID: 102481),50.120017,-122.942787,0,,4610 Blackcomb
102483,eastbound Hwy 99 FS Panorama (Stop ID: 102483),50.109931,-122.964759,0,,Hwy 99 at Panorama
102484,northbound Spearhead NS Blackcomb at Upper Village (Stop ID: 102484),50.119124,-122.941157,0,,Spearhead at Blackcomb
102485,southbound 4860 block Painted Cliff at Upper Village (Stop ID: 102485),50.118289,-122.940063,0,,4860 Painted Cliff
102486,westbound Hwy 99 NS Panorama (Stop ID: 102486),50.110091,-122.964877,0,,Hwy 99 at Panorama
102487,southbound Blackcomb FS Settebello (Stop ID: 102487),50.123237,-122.954538,0,,Blackcomb at Settebello
102488,northbound Blackcomb FS Settebello (Stop ID: 102488),50.123593,-122.954432,0,,Blackcomb at Settebello
102491,southbound Painted Cliff FS Blackcomb at Upper Village (Stop ID: 102491),50.119884,-122.938854,0,,Painted Cliff at Blackcomb
102492,eastbound Blackcomb NS Painted Cliff at Upper Village (Stop ID: 102492),50.120364,-122.939413,0,,Blackcomb at Painted Cliff
102493,eastbound Hwy 99 FS Brio Entrance (Stop ID: 102493),50.109432,-122.968172,0,,Hwy 99 at Brio Entrance
102494,southbound Blueberry NS Ptarmigan (Stop ID: 102494),50.112718,-122.970446,0,,Blueberry at Ptarmigan
102496,northbound Lorimer NS St Andrews (Stop ID: 102496),50.124198,-122.961359,0,,Lorimer at St Andrews
102497,southbound Blueberry NS Heron (Stop ID: 102497),50.11852,-122.969289,0,,Blueberry at Heron
102498,southbound Lorimer FS St Andrews (Stop ID: 102498),50.124047,-122.961521,0,,Lorimer at St Andrews
