service_id,date,exception_type
70,20160404,1
70,20160405,1
70,20160406,1
70,20160407,1
70,20160408,1
70,20160409,2
70,20160410,2
70,20160411,1
70,20160412,1
70,20160413,1
70,20160414,1
70,20160415,1
70,20160416,2
70,20160417,2
70,20160418,1
70,20160419,1
70,20160420,1
70,20160421,1
70,20160422,1
70,20160423,2
70,20160424,2
70,20160425,1
70,20160426,1
70,20160427,1
70,20160428,1
70,20160429,1
70,20160430,2
70,20160501,2
70,20160502,1
70,20160503,1
70,20160504,1
70,20160505,2
70,20160506,1
70,20160507,2
70,20160508,2
70,20160509,1
70,20160510,1
70,20160511,1
70,20160512,1
70,20160513,1
70,20160514,2
70,20160515,2
70,20160516,2
70,20160517,2
70,20160518,1
70,20160519,1
70,20160520,1
70,20160521,2
70,20160522,2
70,20160523,1
70,20160524,1
70,20160525,1
70,20160526,1
70,20160527,1
70,20160528,2
70,20160529,2
70,20160530,1
70,20160531,1
70,20160601,1
70,20160602,1
70,20160603,1
70,20160604,2
70,20160605,2
70,20160606,1
70,20160607,1
70,20160608,1
70,20160609,1
70,20160610,1
70,20160611,2
70,20160612,2
70,20160613,1
70,20160614,1
70,20160615,1
70,20160616,1
70,20160617,1
70,20160618,2
70,20160619,2
70,20160620,1
70,20160621,1
70,20160622,1
70,20160623,1
70,20160624,1
71,20160329,2
71,20160330,2
71,20160331,2
71,20160401,1
71,20160402,2
71,20160403,2
71,20160404,2
71,20160405,2
71,20160406,2
71,20160407,2
71,20160408,1
71,20160409,2
71,20160410,2
71,20160411,2
71,20160412,2
71,20160413,2
71,20160414,2
71,20160415,1
71,20160416,2
71,20160417,2
71,20160418,2
71,20160419,2
71,20160420,2
71,20160421,2
71,20160422,1
71,20160423,2
71,20160424,2
71,20160425,2
71,20160426,2
71,20160427,2
71,20160428,2
71,20160429,1
71,20160430,2
71,20160501,2
71,20160502,2
71,20160503,2
71,20160504,2
71,20160505,2
71,20160506,1
71,20160507,2
71,20160508,2
71,20160509,2
71,20160510,2
71,20160511,2
71,20160512,2
71,20160513,1
71,20160514,2
