stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
11495962,Kolnes skole,11495962,59.389705,5.373230,http://gt.rkt.no/H11495962
11495964,Steinhaugane,11495964,59.395266,5.370533,http://gt.rkt.no/H11495964
11603889,Lærdal,11603889,59.555491,5.819801,http://gt.rkt.no/H11603889
11603895,Skeia,11603895,59.547936,5.854270,http://gt.rkt.no/H11603895
11353694,Hovland,11353694,59.643746,6.306755,http://gt.rkt.no/H11353694
11353692,Saua,11353692,59.640270,6.303070,http://gt.rkt.no/H11353692
11353686,Borvik,11353686,59.637540,6.304730,http://gt.rkt.no/H11353686
11346235,Sandsvegen,11346235,59.509193,6.209971,http://gt.rkt.no/H11346235
11603925,Kvaløy,11603925,59.480510,6.026900,http://gt.rkt.no/H11603925
11493365,Spannetopp,11493365,59.385259,5.329612,http://gt.rkt.no/H11493365
11603883,Sønnanå,11603883,59.564970,5.807480,http://gt.rkt.no/H11603883
11356151,Åbøland,11356151,59.649240,6.357850,http://gt.rkt.no/H11356151
11353716,Kastfosskrysset,11353716,59.651770,6.385020,http://gt.rkt.no/H11353716
11063207,Haraldshaugen,11063207,59.428918,5.261598,http://gt.rkt.no/H11063207
11062699,Kvalsvik,11062699,59.436406,5.244443,http://gt.rkt.no/H11062699
11063997,Strindavegen,11063997,59.432855,5.252763,http://gt.rkt.no/H11063997
11063996,Halvardshaugen,11063996,59.431230,5.256415,http://gt.rkt.no/H11063996
11063208,Klokkarvegen,11063208,59.430225,5.259251,http://gt.rkt.no/H11063208
11063206,Haraldshaugen,11063206,59.428268,5.262123,http://gt.rkt.no/H11063206
11466256,Førre skole,11466256,59.428817,5.384456,http://gt.rkt.no/H11466256
11353688,Kapellet,11353688,59.639440,6.306280,http://gt.rkt.no/H11353688
11463456,Dalanesvegen,11463456,59.368280,5.393910,http://gt.rkt.no/H11463456
11466585,Hundsnes,11466585,59.374171,5.604598,http://gt.rkt.no/H11466585
11463525,Lønning,11463525,59.336140,5.503960,http://gt.rkt.no/H11463525
11453536,Austre Bokn,11453536,59.225010,5.464630,http://gt.rkt.no/H11453536
11453535,Austre Bokn,11453535,59.225210,5.464350,http://gt.rkt.no/H11453535
11453538,Alvestad nord,11453538,59.222080,5.454290,http://gt.rkt.no/H11453538
11453552,Jøsang,11453552,59.179840,5.387690,http://gt.rkt.no/H11453552
11463491,Halsen,11463491,59.296670,5.424920,http://gt.rkt.no/H11463491
11463602,Haugen,11463602,59.432160,5.613490,http://gt.rkt.no/H11463602
