stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
F02225,"Petőfi híd, budai hídfő",47.47694,19.059613,,
F02226,"Gazdagréti tér",47.473158,18.992271,,
F02227,"Gazdagréti tér",47.473329,18.992523,,
F02228,"Gazdagréti tér",47.473239,18.992404,,
F02231,"Kosztolányi Dezső tér",47.474641,19.040037,,
F02232,"Örsöddűlő",47.455304,18.99359,,
F02233,"Örsöddűlő",47.455118,18.993239,,
F02234,"Kelenföldi Erőmű",47.464483,19.052819,,
F02235,"Kelenföldi Erőmű",47.464429,19.053084,,
F02236,"Hengermalom út",47.459167,19.052089,,
F02237,"Hengermalom út",47.45941,19.052434,,
F02238,"Fővárosi Művelődési Ház",47.469928,19.044853,,
F02239,"Fővárosi Művelődési Ház",47.470279,19.045065,,
F02240,"Kalotaszeg utca",47.459062,19.040994,,
F02241,"Kalotaszeg utca",47.458828,19.040968,,
F02242,"Regős köz",47.468228,19.003519,,
F02243,"Regős köz",47.468588,19.003372,,
F02244,"Torbágy utca",47.467786,18.998651,,
F02245,"Torbágy utca",47.467971,18.998565,,
F02246,"Előpatak utca",47.471466,19.01062,,
F02247,"Előpatak utca",47.471124,19.010886,,
F02252,"Pető Intézet (Villányi út)",47.481863,19.032579,,
F02253,"Pető Intézet (Villányi út)",47.481674,19.032897,,
F02254,"Ménesi út",47.481573,19.038132,,
F02255,"Ménesi út",47.481933,19.038371,,
F02259,"Nándorfejérvári út",47.461938,19.047022,,
F02260,"Nándorfejérvári út",47.461785,19.046425,,
F02261,"Hollókő utca",47.475365,19.029854,,
F02262,"Hollókő utca",47.475665,19.030431,,
F02263,"Albertfalva vasútállomás",47.441878,19.032067,,
F02264,"Állvány utca",47.445295,19.028433,,
F02265,"Állvány utca",47.445592,19.028274,,
F02266,"Madárhegy",47.462152,18.993099,,
F02267,"Madárhegy",47.461928,18.993987,,
F02268,"Csillebérc, KFKI",47.486662,18.954637,,
F02269,"Csillebérc, KFKI",47.486881,18.954457,,
F02270,"KFKI étterem",47.488995,18.958601,,
F02271,"KFKI étterem",47.489115,18.959005,,
F02272,"Magas út",47.490385,18.961153,,
F02273,"Magas út",47.490385,18.960901,,
F02274,"Mindszenty József bíboros tér",47.487255,18.989755,,
F02275,"Hó utca",47.486399,18.992231,,
F02276,"Hó utca",47.486462,18.992337,,
F02277,"Hajnalka utca",47.484973,18.994176,,
F02278,"Hajnalka utca",47.485251,18.994003,,
F02279,"Tamási Áron utca",47.493446,19.002549,,
F02280,"Tamási Áron utca",47.493719,19.002515,,
F02281,"Mártonhegyi út",47.490532,19.002326,,
F02282,"Mártonhegyi út",47.490166,19.002239,,
F02283,"Kempelen Farkas utca",47.488077,19.003907,,
F02284,"Kempelen Farkas utca",47.487906,19.004279,,
F02285,"Ormódi utca",47.488387,19.00674,,
F02286,"Ormódi utca",47.48914,19.007051,,
F02287,"Bürök utca",47.491254,19.009385,,
F02288,"Németvölgyi út",47.491419,19.009949,,
F02289,"Szendi árok",47.491438,19.011687,,
F02290,"Németvölgyi út",47.492499,19.012217,,
F02291,"Németvölgyi út",47.493516,19.011951,,
F02292,"Apor Vilmos tér",47.491031,19.014043,,
F02294,"Apor Vilmos tér",47.490941,19.014004,,
F02295,"Apor Vilmos tér",47.490869,19.014296,,
F02296,"Vas Gereben utca",47.489072,19.009566,,
F02297,"Vas Gereben utca",47.489341,19.009764,,
F02298,"Zólyomi lépcső",47.490368,19.011821,,
F02299,"Zólyomi lépcső",47.49026,19.012192,,
F02300,"Apor Vilmos tér",47.490476,19.014846,,
F02301,"Apor Vilmos tér",47.490396,19.015258,,
F02302,"Sirály utca",47.489656,19.018105,,
F02303,"Sirály utca",47.489422,19.018318,,
F02305,"Kiss János altábornagy utca",47.492039,19.016843,,
F02306,"Kiss János altábornagy utca",47.492222,19.016504,,
F02307,"Kiss János altábornagy utca",47.49251,19.01665,,
F02308,"Kiss János altábornagy utca",47.492902,19.016696,,
F02309,"Tartsay Vilmos utca",47.492148,19.019086,,
F02310,"Tartsay Vilmos utca",47.492347,19.023916,,
F02311,"Tartsay Vilmos utca",47.492404,19.024241,,
F02313,"Széchenyi-hegy, Gyermekvasút",47.495129,18.979514,,
F02314,"Művész út",47.496166,18.983826,,
F02315,"Művész út",47.49622,18.98425,,
F02316,"Svábhegy",47.497428,18.989425,,
F02317,"Svábhegy",47.497878,18.989756,,
F02318,"Városkút",47.500127,18.989396,,
F02319,"Városkút",47.50036,18.98917,,
F02320,"Gyöngyvirág út",47.503068,18.989777,,
F02321,"Gyöngyvirág út",47.503329,18.990122,,
F02322,"Erdei iskola",47.507172,18.994339,,
F02323,"Erdei iskola",47.507298,18.994724,,
F02324,"Esze Tamás iskola",47.507318,18.997963,,
F02325,"Esze Tamás iskola",47.507129,18.998282,,
F02326,"Orgonás",47.506699,19.002504,,
F02327,"Orgonás",47.506636,19.003181,,
F02328,"Szent János Kórház",47.50814,19.008277,,
F02329,"Szent János Kórház",47.508338,19.008569,,
F02330,"Városmajor",47.509383,19.01279,,
F02332,"Széll Kálmán tér M",47.5072,19.022442,,
F02333,"Széll Kálmán tér M (Csaba utca)",47.50672,19.022635,,
F02334,"Széll Kálmán tér M (Csaba utca)",47.506549,19.023246,,
F02335,"Maros utca",47.505766,19.021813,,
F02337,"Csaba utca",47.504878,19.018833,,
F02338,"Városmajor utca",47.505094,19.018647,,
F02339,"Érsebészeti Klinika",47.506802,19.015128,,
F02340,"Érsebészeti Klinika",47.506709,19.015148,,
F02341,"Szent János Kórház",47.508725,19.009711,,
F02342,"Szent János Kórház",47.509112,19.00906,,
F02343,"Szent János Kórház",47.508389,19.008483,,
F02344,"Rőzse köz",47.508315,19.003492,,
F02345,"Szamóca utca",47.508153,19.004116,,
F02346,"Józsa Béla köz",47.509141,18.99984,,
F02347,"Diós árok",47.50933,18.999614,,
F02348,"Pető Intézet",47.512327,19.003196,,
F02349,"Pető Intézet",47.512327,19.002891,,
F02350,"Virányos út",47.512658,19.000235,,
F02351,"Virányos út",47.512608,19.001025,,
F02352,"Zalai út",47.516605,18.990054,,
F02353,"Zalai út",47.51648,18.990174,,
F02355,"Fészek utca",47.511821,18.997289,,
